(May 09, 2011 11:15:38)Starting VRD subsystem
(May 11, 2011 09:37:04)Starting VRD subsystem
(May 12, 2011 11:20:56)Starting VRD subsystem
(May 12, 2011 11:41:48)Starting VRD subsystem
(May 12, 2011 11:42:59)Starting VRD subsystem
(May 12, 2011 15:51:56)Starting VRD subsystem
(May 13, 2011 09:27:44)Starting VRD subsystem
(May 19, 2011 14:59:08)Starting VRD subsystem
(May 25, 2011 08:58:41)Starting VRD subsystem
(May 26, 2011 11:24:31)Starting VRD subsystem
(May 30, 2011 14:16:13)Starting VRD subsystem
(May 30, 2011 18:23:44)Starting VRD subsystem
(May 30, 2011 18:24:31)Starting VRD subsystem
(May 31, 2011 11:05:09)Starting VRD subsystem
(May 31, 2011 16:41:12)Starting VRD subsystem
(May 31, 2011 19:16:07)Starting VRD subsystem
(May 31, 2011 19:49:37)Starting VRD subsystem
(Jun 07, 2011 09:15:49)Starting VRD subsystem
(Jun 07, 2011 12:26:04)Starting VRD subsystem
(Jun 07, 2011 15:11:19)Starting VRD subsystem
(Jun 08, 2011 08:52:58)Starting VRD subsystem
(Jun 08, 2011 12:33:59)Starting VRD subsystem
(Jun 08, 2011 15:31:58)Starting VRD subsystem
(Jun 08, 2011 15:41:51)Starting VRD subsystem
(Jun 16, 2011 10:35:02)Starting VRD subsystem
(Jun 16, 2011 17:52:46)Starting VRD subsystem
(Jun 16, 2011 19:05:20)Starting VRD subsystem
(Jun 27, 2011 16:32:28)Starting VRD subsystem
(Jun 29, 2011 13:56:23)Starting VRD subsystem
(Jul 01, 2011 09:46:28)Starting VRD subsystem
(Jul 07, 2011 09:32:25)Starting VRD subsystem
(Jul 07, 2011 15:20:24)Starting VRD subsystem
(Jul 07, 2011 19:02:59)Starting VRD subsystem
(Jul 07, 2011 19:07:54)Starting VRD subsystem
(Jul 07, 2011 19:17:31)Starting VRD subsystem
(Jul 13, 2011 16:12:13)Starting VRD subsystem
(Jul 13, 2011 16:44:22)Starting VRD subsystem
(Jul 13, 2011 16:46:25)Starting VRD subsystem
(Jul 13, 2011 16:48:01)Starting VRD subsystem
(Jul 13, 2011 16:56:07)Starting VRD subsystem
(Jul 13, 2011 17:45:56)Starting VRD subsystem
(Jul 13, 2011 17:49:39)Starting VRD subsystem
(Jul 13, 2011 17:50:10)Starting VRD subsystem
(Jul 13, 2011 18:00:16)Starting VRD subsystem
(Jul 13, 2011 18:00:49)Starting VRD subsystem
(Jul 13, 2011 18:02:07)Starting VRD subsystem
(Jul 13, 2011 18:23:26)Starting VRD subsystem
(Jul 13, 2011 18:58:54)Starting VRD subsystem
(Jul 14, 2011 10:15:17)Starting VRD subsystem
(Jul 21, 2011 09:14:04)Starting VRD subsystem
(Jul 24, 2011 10:31:52)Starting VRD subsystem
(Jul 25, 2011 10:11:11)Starting VRD subsystem
(Jul 26, 2011 09:41:52)Starting VRD subsystem
